t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,forecast
0.0000,26460.0000,126900.0000,132840.0000,148500.0000,141480.0000,155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,126699.8000
0.0000,32940.0000,137160.0000,138240.0000,135000.0000,132300.0000,156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,133203.6000
0.0000,28080.0000,121500.0000,131220.0000,124200.0000,125280.0000,133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,136507.4000
26460.0000,126900.0000,132840.0000,148500.0000,141480.0000,155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,137502.7000
32940.0000,137160.0000,138240.0000,135000.0000,132300.0000,156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,138382.7000
28080.0000,121500.0000,131220.0000,124200.0000,125280.0000,133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,147032.9000
126900.0000,132840.0000,148500.0000,141480.0000,155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,141124.7000
137160.0000,138240.0000,135000.0000,132300.0000,156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,140603.7000
121500.0000,131220.0000,124200.0000,125280.0000,133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,148783.1000
132840.0000,148500.0000,141480.0000,155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,139557.2000
138240.0000,135000.0000,132300.0000,156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,139120.7000
131220.0000,124200.0000,125280.0000,133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,140865.5000
148500.0000,141480.0000,155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,147814.7000
135000.0000,132300.0000,156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,136292.4000
124200.0000,125280.0000,133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,139667.3000
141480.0000,155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,143395.6000
132300.0000,156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,140804.7000
125280.0000,133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,146506.0000
155891.0000,170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,145683.5000
156971.0000,137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,146582.0000
133211.0000,136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,147361.7000
170100.0000,159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149939.1000
137160.0000,146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,142270.0000
136620.0000,136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,147133.6000
159840.0000,163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,150311.0000
146880.0000,155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,142835.3000
136620.0000,142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,146987.2000
163080.0000,153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,146819.2000
155520.0000,145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,140640.1000
142560.0000,152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,147699.3000
153900.0000,150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,147122.2000
145260.0000,144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148271.8000
152820.0000,139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,146286.1000
150120.0000,163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,147700.8000
144720.0000,149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,147886.9000
139860.0000,154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,146656.4000
163080.0000,158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,145657.3000
149580.0000,162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,145506.4000
154440.0000,147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,148116.3000
158591.0000,170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,152264.1000
162911.0000,149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,146217.0000
147251.0000,142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,149665.7000
170100.0000,171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,153244.1000
149040.0000,149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142722.0000
142560.0000,162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,150599.0000
171180.0000,163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,149533.5000
149580.0000,154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,143493.2000
162540.0000,150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,141816.9000
163080.0000,153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,152622.3000
154980.0000,140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,140581.2000
150660.0000,147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,151507.6000
153900.0000,172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,153186.1000
140400.0000,155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,144115.6000
147420.0000,145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,145737.6000
172800.0000,155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,147607.0000
155520.0000,154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,144749.2000
145800.0000,145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,146398.4000
155520.0000,155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,143287.6000
154980.0000,147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,142755.4000
145800.0000,148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146485.3000
155351.0000,154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,147882.9000
147251.0000,153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,139891.1000
148331.0000,146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,145988.7000
154440.0000,147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,150879.5000
153900.0000,146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,142080.6000
146880.0000,145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,146400.4000
147960.0000,137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,155413.5000
146880.0000,142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,142092.6000
145800.0000,143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,146537.1000
137700.0000,139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,151786.8000
142020.0000,137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,146453.0000
143640.0000,152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144057.4000
139860.0000,138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,147991.6000
137160.0000,130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,139754.4000
152820.0000,148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144720.0000,145469.0000
138780.0000,135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,161460.0000,154501.8000
130680.0000,133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,140940.0000,137168.9000
